,regdate,trevenue,tcount,shipfee,lrevenue,lcount,lshipfee,NBR,NPBR,OBR,PBR,nrevenue,nshipfee,NBRp,NPBRp,OBRp,PBRp,regdate_week,regdate_month
41,2024-04-11,8352783,82,30000.0,178000.0,3.0,3000.0,0.0,0.9636638643638538,0.0,0.03633613563614619,8174783.0,27000.0,0.0,7851724.0517781135,0.0,296058.9482218861,2024-04-08,2024-04-01
40,2024-04-10,11271144,109,24000.0,281000.0,4.0,3000.0,0.004108571178810263,0.9790288037064557,0.0,0.016862625114734034,10990144.0,21000.0,45067.50889461952,10739107.928003846,0.0,184968.56310153415,2024-04-08,2024-04-01
39,2024-04-09,20568612,193,48000.0,757915.0,8.0,6000.0,0.0018737374230255004,0.9650918814470718,0.0,0.0330343811299027,19810697.0,42000.0,37041.34737335194,19078608.981487084,0.0,653046.6711395641,2024-04-08,2024-04-01
38,2024-04-08,40053312,355,45000.0,1387823.0,14.0,0.0,0.0002495947237188101,0.99678048017991,0.0,0.002969925096371296,38665489.0,45000.0,9639.470281840344,38496149.57020293,0.0,114699.95951523157,2024-04-08,2024-04-01
37,2024-04-07,1243155,16,12000.0,167000.0,2.0,0.0,0.08829922115558776,0.6497917044013766,0.0,0.2619090744430357,1076155.0,12000.0,93964.0576888245,691479.0911972469,0.0,278711.85111392866,2024-04-01,2024-04-01
36,2024-04-06,1111992,16,15000.0,207000.0,4.0,6000.0,0.0,0.7352623623407472,0.0,0.26473763765925284,904992.0,9000.0,0.0,658789.1945584107,0.0,237202.80544158927,2024-04-01,2024-04-01
35,2024-04-05,1004014,16,21000.0,147000.0,3.0,6000.0,0.06013208202989225,0.6047966631908238,0.0,0.33507125477928396,857014.0,15000.0,50632.05491831769,509247.2575599583,0.0,282134.687521724,2024-04-01,2024-04-01
34,2024-04-04,833100,11,6000.0,224000.0,2.0,0.0,0.08372242795041056,0.7301561745290613,0.0,0.1861213975205281,609100.0,6000.0,50492.996296892605,440357.1888584769,0.0,112249.81484463048,2024-04-01,2024-04-01
33,2024-04-03,1400643,19,15000.0,316000.0,4.0,0.0,0.0,0.7211272794253085,0.0,0.2788727205746915,1084643.0,15000.0,0.0,771348.7465463253,0.0,298294.2534536747,2024-04-01,2024-04-01
32,2024-04-02,1310804,20,27000.0,125000.0,2.0,3000.0,0.00413746516929832,0.6210419657181457,0.0,0.37482056911255596,1185804.0,24000.0,4806.9235835514655,721529.0399392046,0.0,435468.03647724394,2024-04-01,2024-04-01
31,2024-04-01,2407210,31,24000.0,704400.0,8.0,0.0,0.0,0.7545084351367074,0.0,0.2454915648632926,1702810.0,24000.0,0.0,1266676.3059918557,0.0,412133.69400814426,2024-04-01,2024-04-01
30,2024-03-31,974606,15,21000.0,215502.0,4.0,6000.0,0.0746132848043676,0.6960873521383075,0.0,0.22929936305732485,759104.0,15000.0,55520.04367606915,517961.3830755232,0.0,170622.57324840766,2024-03-25,2024-03-01
29,2024-03-30,1054000,15,21000.0,289000.0,2.0,0.0,0.0,0.8548387096774194,0.0,0.14516129032258066,765000.0,21000.0,0.0,636000.0,0.0,108000.00000000001,2024-03-25,2024-03-01
28,2024-03-29,1333614,21,27000.0,0.0,0.0,0.0,0.0,0.4233840590628296,0.0,0.5766159409371704,1333614.0,27000.0,0.0,553199.5389483201,0.0,753414.4610516799,2024-03-25,2024-03-01
27,2024-03-28,3600441,54,72000.0,336767.0,4.0,0.0,0.005949128877557215,0.31278455654707704,0.019091847265221878,0.6621744673101438,3263674.0,72000.0,18987.679961148548,998306.3367328356,60934.95252837977,2113445.030777636,2024-03-25,2024-03-01
26,2024-03-27,3959800,55,75000.0,574500.0,4.0,0.0,0.07958608260907479,0.30171787344126966,0.10969973548818417,0.5089963084614714,3385300.0,75000.0,263453.8092608203,998776.676452635,363139.03438653605,1684930.4799000088,2024-03-25,2024-03-01
25,2024-03-26,3650127,53,69000.0,567197.0,4.0,0.0,0.0,0.30079546552445974,0.16205597243244985,0.5371485620430904,3082930.0,69000.0,0.0,906576.477408135,488425.35699333355,1618928.1655985313,2024-03-25,2024-03-01
24,2024-03-25,3206919,47,48000.0,345616.0,3.0,0.0,0.021760055001718803,0.21536610519078722,0.21622550704709523,0.5466483327603988,2861303.0,48000.0,61217.628016500516,605890.1098315573,608307.8676521141,1537887.3944998283,2024-03-25,2024-03-01
23,2024-03-24,4616018,74,90000.0,151438.0,2.0,0.0,0.0,0.20750332005312086,0.0,0.7924966799468791,4464580.0,90000.0,0.0,907739.8738379815,0.0,3466840.1261620186,2024-03-18,2024-03-01
22,2024-03-23,2882505,48,81000.0,0.0,0.0,0.0,0.0,0.3524168666438121,0.0,0.6475831333561879,2882505.0,81000.0,0.0,987297.6139869728,0.0,1814207.386013027,2024-03-18,2024-03-01
21,2024-03-22,5356583,77,117000.0,254000.0,2.0,0.0,0.0,0.13408549722190724,0.0,0.8659145027780928,5102583.0,117000.0,0.0,668494.375496088,0.0,4317088.624503912,2024-03-18,2024-03-01
20,2024-03-21,1947620,27,27000.0,277000.0,3.0,0.0,0.021021021021021023,0.37207207207207205,0.07555555555555556,0.5313513513513514,1670620.0,27000.0,34550.57057057057,611545.099099099,124184.62222222223,873339.7081081081,2024-03-18,2024-03-01
19,2024-03-20,3571571,46,42000.0,243570.0,2.0,0.0,0.047723630319938266,0.21932688312459192,0.16801210898082744,0.5649373775746424,3328001.0,42000.0,156819.89695494747,720708.3572742922,552087.9581231079,1856384.7876476524,2024-03-18,2024-03-01
18,2024-03-19,4737294,59,33000.0,103000.0,1.0,0.0,0.00849428868120457,0.3856697819314642,0.3657736240913811,0.24006230529595016,4634294.0,33000.0,39084.7195430945,1774580.0535825545,1683031.9818899273,1104597.2449844237,2024-03-18,2024-03-01
17,2024-03-18,6609722,91,36000.0,277000.0,3.0,0.0,0.04250019459796062,0.1043045068887678,0.6952440258426091,0.15795127267066242,6332722.0,36000.0,267611.91032925976,656776.4832256557,4377758.3528917255,994575.2535533588,2024-03-18,2024-03-01
16,2024-03-17,1806970,23,24000.0,154570.0,2.0,0.0,0.0,0.326189354686764,0.0,0.673810645313236,1652400.0,24000.0,0.0,531166.7451719266,0.0,1097233.2548280736,2024-03-11,2024-03-01
15,2024-03-16,2440611,36,51000.0,167000.0,3.0,6000.0,0.06239744364798342,0.25801019086276883,0.0,0.6795923654892477,2273611.0,45000.0,139059.62928577597,575004.3494688661,0.0,1514547.0212453578,2024-03-11,2024-03-01
14,2024-03-15,2474948,35,42000.0,450448.0,6.0,6000.0,0.038859474425608394,0.36163598387331813,0.0,0.5995045417010735,2024500.0,36000.0,77272.06489532228,719113.1539320931,0.0,1192114.7811725845,2024-03-11,2024-03-01
13,2024-03-14,3423510,42,18000.0,237000.0,2.0,0.0,0.019509647290156078,0.18050264225144402,0.4638072999877105,0.3361804104706894,3186510.0,18000.0,61816.51253533243,571924.427000123,1469578.0680840604,1065190.9923804842,2024-03-11,2024-03-01
12,2024-03-13,3691200,52,36000.0,453000.0,4.0,0.0,0.034776459012360865,0.2250784084619642,0.3868150790234303,0.3533300535022446,3238200.0,36000.0,111361.17704938196,720746.0795769017,1238659.2460488286,1131433.4973248877,2024-03-11,2024-03-01
11,2024-03-12,6371182,90,36000.0,511500.0,6.0,0.0,0.011586211562531715,0.11636954094922364,0.638341057474375,0.23370319001386963,5859682.0,36000.0,67474.41172490783,677699.2009742566,3717495.326274483,1361013.0610263522,2024-03-11,2024-03-01
10,2024-03-11,5939616,79,24000.0,0.0,0.0,0.0,0.01465286661239679,0.19495622414566477,0.5747346036914591,0.2156563055504793,5939616.0,24000.0,86680.73217816025,1153286.1588556808,3399909.2173508545,1275739.8916153042,2024-03-11,2024-03-01
9,2024-03-10,1618791,23,30000.0,386000.0,5.0,3000.0,0.0,0.8414239482200647,0.0,0.15857605177993528,1232791.0,27000.0,0.0,1014581.4239482201,0.0,191209.57605177994,2024-03-04,2024-03-01
8,2024-03-09,1046532,13,12000.0,254000.0,2.0,0.0,0.1433204440563802,0.6573531246102033,0.0,0.1993264313334165,792532.0,12000.0,111866.19284021454,513085.14905825123,0.0,155580.65810153424,2024-03-04,2024-03-01
7,2024-03-08,1458890,15,12000.0,824400.0,5.0,0.0,0.04267425320056899,0.5919076971708551,0.0,0.36541804962857594,634490.0,12000.0,26564.29587482219,368456.6224118856,0.0,227469.08171329222,2024-03-04,2024-03-01
6,2024-03-07,1933171,23,18000.0,474379.0,6.0,3000.0,0.07021276595744681,0.425531914893617,0.0,0.5042553191489362,1458792.0,15000.0,101372.62978723405,614379.5744680851,0.0,728039.7957446809,2024-03-04,2024-03-01
5,2024-03-06,1394086,18,21000.0,336000.0,4.0,3000.0,0.10422740524781342,0.7707725947521866,0.0,0.125,1058086.0,18000.0,108405.46501457726,801669.7849854227,0.0,130010.75,2024-03-04,2024-03-01
4,2024-03-05,2513716,33,24000.0,710000.0,8.0,0.0,0.2006317364439888,0.6375550691308083,0.0,0.16181319442520295,1803716.0,24000.0,357067.51145715,1134666.9574132056,0.0,287981.5311296445,2024-03-04,2024-03-01
3,2024-03-04,1477945,20,21000.0,0.0,0.0,0.0,0.08724063594718405,0.6928725410940447,0.0,0.2198868229587712,1477945.0,21000.0,127104.80834007007,1009477.184384263,0.0,320363.0072756669,2024-03-04,2024-03-01
2,2024-03-03,1570400,21,30000.0,405000.0,3.0,0.0,0.3334772099447514,0.5455801104972375,0.0,0.12094267955801105,1165400.0,30000.0,378630.0241712707,619451.6574585635,0.0,137318.31837016574,2024-02-26,2024-03-01
1,2024-03-02,1185452,17,21000.0,172000.0,2.0,0.0,0.06010555121188429,0.7119820172009382,0.0,0.22791243158717747,1013452.0,21000.0,59651.87451133699,706607.9769351055,0.0,226192.14855355746,2024-02-26,2024-03-01
0,2024-03-01,1831407,23,15000.0,69000.0,1.0,0.0,0.0,0.7611098828211365,0.0,0.23889011717886358,1762407.0,15000.0,0.0,1329968.7370108336,0.0,417438.2629891665,2024-02-26,2024-03-01
